"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","cond","cond_name","coordinates","correct","correct_instructions_p1","correct_instructions_p2","correct_response","correct_response_exp_1","correct_response_prac","correct_start_next_block","count_ITI_1","count_ITI_prac","count_RSVP_exp_1","count_RSVP_prac","count_break_1","count_experiment","count_experiment_end","count_experiment_loop_1","count_experiment_trial_1","count_feedback","count_feedback_prac","count_fixation_cross_exp_1","count_fixation_cross_prac","count_instructions_p1","count_instructions_p2","count_logger","count_practice_end","count_practice_loop","count_practice_trial","count_question_exp_1","count_question_prac","count_reset_feedback_exp_1","count_reset_feedback_prac","count_response_exp_1","count_response_prac","count_select","count_start_next_block","count_trigger_break_1","count_trigger_exp_end","count_trigger_fix_1","count_trigger_pracend","count_trigger_pracfix","count_trigger_question_1","count_trigger_question_prac","count_trigger_response_1","count_trigger_response_prac","count_triggers","datetime","delay_ITI_1","delay_ITI_prac","description","disable_garbage_collection","exp_question","exp_sentence","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","is_question","isi","item","keyboard_backend","live_row","live_row_practice_loop","logfile","lst","mouse_backend","np_in_question","opensesame_codename","opensesame_version","practice_question","practice_sentence","question_type","repeat_cycle","response","response_break_1","response_experiment_end","response_feedback","response_feedback_prac","response_instructions_p1","response_instructions_p2","response_practice_end","response_response_exp_1","response_response_prac","response_start_next_block","response_time","response_time_break_1","response_time_experiment_end","response_time_feedback","response_time_feedback_prac","response_time_instructions_p1","response_time_instructions_p2","response_time_practice_end","response_time_response_exp_1","response_time_response_prac","response_time_start_next_block","round_decimals","sampler_backend","session","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target_np_gender","time_ITI_1","time_ITI_prac","time_RSVP_exp_1","time_RSVP_prac","time_break_1","time_experiment","time_experiment_end","time_experiment_loop_1","time_experiment_trial_1","time_feedback","time_feedback_prac","time_fixation_cross_exp_1","time_fixation_cross_prac","time_instructions_p1","time_instructions_p2","time_logger","time_practice_end","time_practice_loop","time_practice_trial","time_question_exp_1","time_question_prac","time_reset_feedback_exp_1","time_reset_feedback_prac","time_response_exp_1","time_response_prac","time_select","time_start_next_block","time_trigger_break_1","time_trigger_exp_end","time_trigger_fix_1","time_trigger_pracend","time_trigger_pracfix","time_trigger_question_1","time_trigger_question_prac","time_trigger_response_1","time_trigger_response_prac","time_triggers","title","total_correct","total_response_time","total_responses","type","uniform_coordinates","width","word_dur","word_no_distractor","word_no_post","word_no_precrit","word_no_prepre","word_no_subject","word_no_verb","words_in_sentence"
"0","0","3601","3601","#000000","no","xpyriment","legacy","legacy","0","NA","NA","uniform","0","undefined","undefined","j","NA","0","NA","NA","0","NA","0","NA","0","0","0","NA","NA","NA","NA","0","0","0","0","0","0","0","NA","0","NA","0","NA","0","0","NA","NA","0","NA","0","0","NA","0","NA","0","0","Thu Jul 14 12:44:26 2022","NA","1000","The main experiment item","yes","NA","NA","opensesame_pandora_session1.osexp","/home/vlab/Desktop/Pandora_Session1","no","Times New Roman","no","45","no","#ffffff","no","yes","1020","yes","395","NA","legacy","0","0","/home/vlab/Desktop/Pandora_Session1/logs/subject-2.csv","NA","xpyriment","NA","Lentiform Loewenfeld","3.3.12b1","War es der Pendler, der hetzte?","Der Radfahrer sah, wie der Pendler, der spät dran war, zur Bahn hetzte.","NA","0","f","NA","NA","NA","NA","space","space","NA","NA","f","NA","3601","NA","NA","NA","NA","560849","8769","NA","NA","3601","NA","2","legacy","NA","1024","2","48000","-16","experiment","2","even","NA","NA","NA","NA","572731","NA","1283","NA","NA","NA","NA","NA","NA","572236","1290","562145","585867","NA","570915","572233","NA","582265","NA","NA","NA","582265","NA","NA","NA","NA","NA","NA","572731","NA","582265","NA","585867","1283","pandora_session1","0","3601","1","NA","yes","1920","330","NA","NA","NA","NA","NA","NA","NA"
"50","50","2400.5","2400.5","#000000","no","xpyriment","legacy","legacy","0","NA","NA","uniform","1","undefined","undefined","f","NA","1","NA","NA","1","NA","1","NA","0","0","0","NA","NA","NA","NA","1","0","0","1","0","0","1","NA","1","NA","1","NA","1","0","NA","NA","0","NA","1","1","NA","1","NA","1","0","Thu Jul 14 12:44:26 2022","NA","1000","The main experiment item","yes","NA","NA","opensesame_pandora_session1.osexp","/home/vlab/Desktop/Pandora_Session1","no","Times New Roman","no","45","no","#ffffff","no","yes","1020","yes","395","NA","legacy","1","1","/home/vlab/Desktop/Pandora_Session1/logs/subject-2.csv","NA","xpyriment","NA","Lentiform Loewenfeld","3.3.12b1","War es das Kind, das ein Buch las?","Das Kind mit der blauen Hose spielte im Sandkasten und die Mutter las ein Buch.","NA","0","f","NA","NA","NA","NA","space","space","NA","NA","f","NA","1200","NA","NA","NA","NA","560849","8769","NA","NA","1200","NA","2","legacy","NA","1024","2","48000","-16","experiment","2","even","NA","NA","585880","NA","588885","NA","1283","NA","NA","NA","NA","NA","NA","588390","1290","562145","600490","NA","570915","588386","NA","599289","NA","NA","NA","599289","NA","NA","NA","NA","NA","586880","588885","NA","599289","NA","600490","1283","pandora_session1","1","4801","2","NA","yes","1920","290","NA","NA","NA","NA","NA","NA","NA"
"undefined","undefined","undefined","undefined","#000000","no","xpyriment","legacy","legacy","0","b","LoSyn/HiSem","uniform","undefined","undefined","undefined","NA","NA","1","NA","0","1","0","1","NA","0","0","0","0","NA","0","0","1","0","0","2","0","0","1","0","1","0","1","0","1","0","NA","0","0","0","1","1","0","1","0","1","0","Thu Jul 14 12:44:26 2022","1000","1000","The main experiment item","yes","NA","Der Angehörige hörte, dass die Suchtkranke, die von dem renommierten Therapeuten gewusst hatte, weiter entschlossen durchhielt, um ihre Ehe zu retten.","opensesame_pandora_session1.osexp","/home/vlab/Desktop/Pandora_Session1","no","Times New Roman","no","45","no","#ffffff","no","yes","1020","no","395","57","legacy","0","1","/home/vlab/Desktop/Pandora_Session1/logs/subject-2.csv","2","xpyriment","NA","Lentiform Loewenfeld","3.3.12b1","War es das Kind, das ein Buch las?","Das Kind mit der blauen Hose spielte im Sandkasten und die Mutter las ein Buch.","NA","0","space","NA","NA","NA","space","space","space","space","NA","f","NA","4459","NA","NA","NA","5166","560849","8769","4459","NA","1200","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","fem","NA","600492","613935","588885","NA","1283","NA","611322","613420","NA","601652","613440","588390","1290","562145","630059","606862","570915","588386","NA","599289","NA","NA","NA","599289","611322","NA","NA","NA","613935","606818","588885","NA","599289","NA","600490","1283","pandora_session1","0","0","0","experimental","yes","1920","330","11","17","15","14","6","16","21"
"undefined","undefined","undefined","undefined","#000000","no","xpyriment","legacy","legacy","0","c","HiSyn/LoSem","uniform","undefined","undefined","undefined","NA","NA","1","NA","1","1","1","1","NA","0","0","0","1","NA","0","1","1","0","0","3","0","0","1","1","1","1","1","1","1","0","NA","1","0","1","1","1","1","1","1","1","0","Thu Jul 14 12:44:26 2022","1000","1000","The main experiment item","yes","NA","Der Auftraggeber würdigte, dass der Statiker, der kalkuliert hatte, dass der Untergrund optimal war, sehr geschickt plante, um die Fensterfront zu vergrößern.","opensesame_pandora_session1.osexp","/home/vlab/Desktop/Pandora_Session1","no","Times New Roman","no","45","no","#ffffff","no","yes","1020","no","395","22","legacy","1","1","/home/vlab/Desktop/Pandora_Session1/logs/subject-2.csv","2","xpyriment","NA","Lentiform Loewenfeld","3.3.12b1","War es das Kind, das ein Buch las?","Das Kind mit der blauen Hose spielte im Sandkasten und die Mutter las ein Buch.","NA","0","space","NA","NA","NA","space","space","space","space","NA","f","NA","4459","NA","NA","NA","5166","560849","8769","4459","NA","1200","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","masc","630062","600492","633560","588885","NA","1283","NA","611322","633060","NA","601652","633065","588390","1290","562145","650576","606862","570915","588386","NA","599289","NA","NA","NA","599289","611322","NA","NA","NA","633560","606818","588885","NA","599289","NA","600490","1283","pandora_session1","0","0","0","experimental","yes","1920","410","12","18","16","15","6","17","22"
"undefined","undefined","undefined","undefined","#000000","no","xpyriment","legacy","legacy","0","f","filler","uniform","undefined","undefined","undefined","NA","NA","1","NA","2","1","2","1","NA","0","0","0","2","NA","0","2","1","0","0","4","0","0","1","2","1","2","1","2","1","0","NA","2","0","2","1","1","2","1","2","1","0","Thu Jul 14 12:44:26 2022","1000","1000","The main experiment item","yes","NA","Der Paketbote übergab die Lieferung mit dem zerbrechlichen Inhalt, nachdem er den Empfänger, dessen Klingel nicht funktionierte, ausfindig gemacht hatte.","opensesame_pandora_session1.osexp","/home/vlab/Desktop/Pandora_Session1","no","Times New Roman","no","45","no","#ffffff","no","yes","1020","no","395","153","legacy","2","1","/home/vlab/Desktop/Pandora_Session1/logs/subject-2.csv","NA","xpyriment","filler_question","Lentiform Loewenfeld","3.3.12b1","War es das Kind, das ein Buch las?","Das Kind mit der blauen Hose spielte im Sandkasten und die Mutter las ein Buch.","filler_question","0","space","NA","NA","NA","space","space","space","space","NA","f","NA","4459","NA","NA","NA","5166","560849","8769","4459","NA","1200","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","filler","650580","600492","653898","588885","NA","1283","NA","611322","653400","NA","601652","653403","588390","1290","562145","668457","606862","570915","588386","NA","599289","NA","NA","NA","599289","611322","NA","NA","NA","653898","606818","588885","NA","599289","NA","600490","1283","pandora_session1","0","0","0","filler","yes","1920","310","filler","filler","filler","filler","filler","filler","20"
"undefined","undefined","undefined","undefined","#000000","no","xpyriment","legacy","legacy","0","f","filler","uniform","undefined","undefined","undefined","NA","NA","1","NA","3","1","3","1","NA","0","0","0","3","NA","0","3","1","0","0","5","0","0","1","3","1","3","1","3","1","0","NA","3","0","3","1","1","3","1","3","1","0","Thu Jul 14 12:44:26 2022","1000","1000","The main experiment item","yes","NA","Die Pianistin nutzte das Stimmgerät, das sie von ihrem Großvater bekommen hatte, um das Klavier vor dem Konzert zu stimmen.","opensesame_pandora_session1.osexp","/home/vlab/Desktop/Pandora_Session1","no","Times New Roman","no","45","no","#ffffff","no","yes","1020","no","395","151","legacy","3","1","/home/vlab/Desktop/Pandora_Session1/logs/subject-2.csv","NA","xpyriment","filler_question","Lentiform Loewenfeld","3.3.12b1","War es das Kind, das ein Buch las?","Das Kind mit der blauen Hose spielte im Sandkasten und die Mutter las ein Buch.","filler_question","0","space","NA","NA","NA","space","space","space","space","NA","f","NA","4459","NA","NA","NA","5166","560849","8769","4459","NA","1200","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","filler","668461","600492","671775","588885","NA","1283","NA","611322","671276","NA","601652","671280","588390","1290","562145","685735","606862","570915","588386","NA","599289","NA","NA","NA","599289","611322","NA","NA","NA","671775","606818","588885","NA","599289","NA","600490","1283","pandora_session1","0","0","0","filler","yes","1920","350","filler","filler","filler","filler","filler","filler","20"
"100","100","2230","2230","#000000","no","xpyriment","legacy","legacy","0","c","HiSyn/LoSem","uniform","1","undefined","undefined","j","1","1","NA","4","1","4","1","NA","0","0","0","4","NA","0","4","1","0","0","6","0","0","1","4","1","4","1","4","1","0","NA","4","0","4","1","1","4","1","4","1","0","Thu Jul 14 12:44:26 2022","1000","1000","The main experiment item","yes","War die Kreuzfahrt glamourös?","Der Trauzeuge sah, dass der Bräutigam, der geprahlt hatte, dass die Kreuzfahrt glamourös war, leider ungünstig stolperte, wodurch er sich den Knöchel verstauchte.","opensesame_pandora_session1.osexp","/home/vlab/Desktop/Pandora_Session1","no","Times New Roman","no","45","no","#ffffff","no","yes","1020","yes","395","6","legacy","4","1","/home/vlab/Desktop/Pandora_Session1/logs/subject-2.csv","2","xpyriment","distractor","Lentiform Loewenfeld","3.3.12b1","War es das Kind, das ein Buch las?","Das Kind mit der blauen Hose spielte im Sandkasten und die Mutter las ein Buch.","adj","0","j","NA","NA","NA","space","space","space","space","j","f","NA","2230","NA","NA","NA","5166","560849","8769","4459","2230","1200","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","masc","685738","600492","689284","588885","NA","1283","NA","611322","688785","NA","601652","688789","588390","1290","562145","709009","606862","570915","588386","706779","599289","NA","NA","706779","599289","611322","NA","NA","NA","689284","606818","588885","706779","599289","709009","600490","1283","pandora_session1","1","2230","1","experimental","yes","1920","430","12","18","16","15","6","17","23"
"100","100","2230","2230","#000000","no","xpyriment","legacy","legacy","0","b","LoSyn/HiSem","uniform","1","undefined","undefined","NA","1","1","NA","5","1","5","1","NA","0","0","0","5","NA","0","5","1","0","0","7","0","0","1","5","1","5","1","5","1","0","NA","5","0","5","1","1","5","1","5","1","0","Thu Jul 14 12:44:26 2022","1000","1000","The main experiment item","yes","NA","Der Aufsichtsrat ahnte, dass der Börsenmakler, der von dem raffinierten Informanten gewusst hatte, wiederholt hinterhältig betrog, um Schulden zu begleichen.","opensesame_pandora_session1.osexp","/home/vlab/Desktop/Pandora_Session1","no","Times New Roman","no","45","no","#ffffff","no","yes","1020","no","395","21","legacy","5","1","/home/vlab/Desktop/Pandora_Session1/logs/subject-2.csv","2","xpyriment","NA","Lentiform Loewenfeld","3.3.12b1","War es das Kind, das ein Buch las?","Das Kind mit der blauen Hose spielte im Sandkasten und die Mutter las ein Buch.","NA","0","j","NA","NA","NA","space","space","space","space","j","f","NA","2230","NA","NA","NA","5166","560849","8769","4459","2230","1200","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","masc","709011","600492","712323","588885","NA","1283","NA","611322","711815","NA","601652","711827","588390","1290","562145","728013","606862","570915","588386","706779","599289","NA","NA","706779","599289","611322","NA","NA","NA","712323","606818","588885","706779","599289","709009","600490","1283","pandora_session1","1","2230","1","experimental","yes","1920","410","11","17","15","14","6","16","20"
"100","100","2230","2230","#000000","no","xpyriment","legacy","legacy","0","d","HiSyn/HiSem","uniform","1","undefined","undefined","NA","1","1","NA","6","1","6","1","NA","0","0","0","6","NA","0","6","1","0","0","8","0","0","1","6","1","6","1","6","1","0","NA","6","0","6","1","1","6","1","6","1","0","Thu Jul 14 12:44:26 2022","1000","1000","The main experiment item","yes","NA","Der Direktor sagte, dass der Junge, der gedacht hatte, dass der Prüfer ungerecht war, auffällig häufig nachfragte, um Unklarheiten zu klären.","opensesame_pandora_session1.osexp","/home/vlab/Desktop/Pandora_Session1","no","Times New Roman","no","45","no","#ffffff","no","yes","1020","no","395","59","legacy","6","1","/home/vlab/Desktop/Pandora_Session1/logs/subject-2.csv","2","xpyriment","NA","Lentiform Loewenfeld","3.3.12b1","War es das Kind, das ein Buch las?","Das Kind mit der blauen Hose spielte im Sandkasten und die Mutter las ein Buch.","NA","0","j","NA","NA","NA","space","space","space","space","j","f","NA","2230","NA","NA","NA","5166","560849","8769","4459","2230","1200","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","masc","728016","600492","731390","588885","NA","1283","NA","611322","730890","NA","601652","730895","588390","1290","562145","747256","606862","570915","588386","706779","599289","NA","NA","706779","599289","611322","NA","NA","NA","731390","606818","588885","706779","599289","709009","600490","1283","pandora_session1","1","2230","1","experimental","yes","1920","330","12","18","16","15","6","17","21"
"100","100","1764","1764","#000000","no","xpyriment","legacy","legacy","0","f","filler","uniform","1","undefined","undefined","j","1","1","NA","7","1","7","1","NA","0","0","0","7","NA","0","7","1","0","0","9","0","0","1","7","1","7","1","7","1","0","NA","7","0","7","1","1","7","1","7","1","0","Thu Jul 14 12:44:26 2022","1000","1000","The main experiment item","yes","War die Gärtnerin froh?","Die Gärtnerin war froh, dass ihr Auftraggeber doch noch in die aufwändige Neugestaltung einwilligte, weil sie den Auftrag brauchte.","opensesame_pandora_session1.osexp","/home/vlab/Desktop/Pandora_Session1","no","Times New Roman","no","45","no","#ffffff","no","yes","1020","yes","395","123","legacy","7","1","/home/vlab/Desktop/Pandora_Session1/logs/subject-2.csv","NA","xpyriment","filler_question","Lentiform Loewenfeld","3.3.12b1","War es das Kind, das ein Buch las?","Das Kind mit der blauen Hose spielte im Sandkasten und die Mutter las ein Buch.","filler_question","0","j","NA","NA","NA","space","space","space","space","j","f","NA","1298","NA","NA","NA","5166","560849","8769","4459","1298","1200","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","filler","747261","600492","750480","588885","NA","1283","NA","611322","749982","NA","601652","749985","588390","1290","562145","765329","606862","570915","588386","764030","599289","NA","NA","764030","599289","611322","NA","NA","NA","750480","606818","588885","764030","599289","765328","600490","1283","pandora_session1","2","3528","2","filler","yes","1920","370","filler","filler","filler","filler","filler","filler","19"
