"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","cond","cond_name","coordinates","correct","correct_instructions_p1","correct_instructions_p2","correct_response","correct_response_exp_1","correct_response_prac","correct_start_next_block","count_ITI_1","count_ITI_prac","count_RSVP_exp_1","count_RSVP_prac","count_blank","count_blank_1","count_break","count_break_1","count_experiment","count_experiment_end","count_experiment_loop_1","count_experiment_trial_1","count_feedback_bad","count_feedback_bad_1","count_feedback_good","count_feedback_good_1","count_feedback_prac","count_feedback_timeout","count_feedback_timeout_1","count_final_feedback","count_fixation_cross_exp_1","count_fixation_cross_prac","count_instructions_p1","count_instructions_p2","count_logger","count_practice_end","count_practice_loop","count_practice_trial","count_question_exp_1","count_question_prac","count_reset_feedback_exp_1","count_reset_feedback_prac","count_response_exp_1","count_response_prac","count_select","count_start_next_block","count_trigger_break_1","count_trigger_exp_end","count_trigger_fix_1","count_trigger_pracend","count_trigger_pracfix","count_trigger_question_1","count_trigger_question_prac","count_trigger_response_1","count_trigger_response_prac","count_triggers","datetime","delay_ITI_1","delay_ITI_prac","description","disable_garbage_collection","exp_question","exp_sentence","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","is_question","isi","item","keyboard_backend","live_row","live_row_practice_loop","logfile","lst","mouse_backend","np_in_question","opensesame_codename","opensesame_version","practice_question","practice_sentence","question_type","repeat_cycle","response","response_break","response_break_1","response_experiment_end","response_feedback_prac","response_final_feedback","response_instructions_p1","response_instructions_p2","response_practice_end","response_response_exp_1","response_response_prac","response_start_next_block","response_time","response_time_break","response_time_break_1","response_time_experiment_end","response_time_feedback_prac","response_time_final_feedback","response_time_instructions_p1","response_time_instructions_p2","response_time_practice_end","response_time_response_exp_1","response_time_response_prac","response_time_start_next_block","round_decimals","sampler_backend","session","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target_np_gender","time_ITI_1","time_ITI_prac","time_RSVP_exp_1","time_RSVP_prac","time_blank","time_blank_1","time_break","time_break_1","time_experiment","time_experiment_end","time_experiment_loop_1","time_experiment_trial_1","time_feedback_bad","time_feedback_bad_1","time_feedback_good","time_feedback_good_1","time_feedback_prac","time_feedback_timeout","time_feedback_timeout_1","time_final_feedback","time_fixation_cross_exp_1","time_fixation_cross_prac","time_instructions_p1","time_instructions_p2","time_logger","time_practice_end","time_practice_loop","time_practice_trial","time_question_exp_1","time_question_prac","time_reset_feedback_exp_1","time_reset_feedback_prac","time_response_exp_1","time_response_prac","time_select","time_start_next_block","time_trigger_break_1","time_trigger_exp_end","time_trigger_fix_1","time_trigger_pracend","time_trigger_pracfix","time_trigger_question_1","time_trigger_question_prac","time_trigger_response_1","time_trigger_response_prac","time_triggers","title","total_correct","total_response_time","total_responses","type","uniform_coordinates","width","word_dur","word_no_distractor","word_no_post","word_no_precrit","word_no_prepre","word_no_subject","word_no_verb","words_in_sentence"
"100","100","2600","2600","#000000","no","xpyriment","legacy","legacy","0","NA","NA","uniform","1","undefined","undefined","f","NA","1","NA","NA","0","NA","0","0","NA","NA","NA","0","0","0","NA","0","NA","0","NA","NA","0","NA","NA","NA","0","0","0","0","0","0","0","NA","0","NA","0","NA","0","0","NA","NA","0","NA","0","0","NA","0","NA","0","0","Tue Oct 25 08:47:45 2022","NA","995","The main experiment item","yes","NA","NA","opensesame_pandora_session1.osexp","/home/vlab/Desktop/Pandora_Session1","no","Times New Roman","no","45","no","#ffffff","no","yes","1020","yes","395","NA","legacy","0","0","/home/vlab/Desktop/Pandora_Session1/logs/subject-59.csv","NA","xpyriment","NA","Lentiform Loewenfeld","3.3.12b1","War es das Kind, das ein Buch las?","Das Kind mit der blauen Hose spielte im Sandkasten und die Mutter las ein Buch.","NA","0","f","NA","NA","NA","NA","NA","space","space","NA","NA","f","NA","2600","NA","NA","NA","NA","NA","2533727","20853","NA","NA","2600","NA","2","legacy","NA","1024","2","48000","-16","experiment","59","odd","NA","NA","NA","NA","2558260","NA","NA","NA","NA","1373","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2557765","1381","2535116","2571265","NA","2555970","2557761","NA","2568664","NA","NA","NA","2568664","NA","NA","NA","NA","NA","NA","2558260","NA","2568664","NA","2571265","1373","pandora_session1","1","2600","1","NA","yes","1920","290","NA","NA","NA","NA","NA","NA","NA"
"100","100","3556","3556","#000000","no","xpyriment","legacy","legacy","0","NA","NA","uniform","1","undefined","undefined","j","NA","1","NA","NA","1","NA","1","1","NA","NA","NA","0","0","0","NA","1","NA","1","NA","NA","1","NA","NA","NA","1","0","0","1","0","0","1","NA","1","NA","1","NA","1","0","NA","NA","0","NA","0","1","NA","1","NA","1","0","Tue Oct 25 08:47:45 2022","NA","995","The main experiment item","yes","NA","NA","opensesame_pandora_session1.osexp","/home/vlab/Desktop/Pandora_Session1","no","Times New Roman","no","45","no","#ffffff","no","yes","1020","yes","395","NA","legacy","1","1","/home/vlab/Desktop/Pandora_Session1/logs/subject-59.csv","NA","xpyriment","NA","Lentiform Loewenfeld","3.3.12b1","War es der Pendler, der hetzte?","Der Radfahrer sah, wie der Pendler, der spät dran war, zur Bahn hetzte.","NA","0","j","NA","NA","NA","NA","NA","space","space","NA","NA","j","NA","3556","NA","NA","NA","NA","NA","2533727","20853","NA","NA","3556","NA","2","legacy","NA","1024","2","48000","-16","experiment","59","odd","NA","NA","2572282","NA","2575444","2572282","NA","NA","NA","1373","NA","NA","NA","NA","NA","2571282","NA","NA","NA","NA","NA","NA","2574949","1381","2535116","2588537","NA","2555970","2574945","NA","2584980","NA","NA","NA","2584980","NA","NA","NA","NA","NA","NA","2575444","NA","2584980","NA","2588537","1373","pandora_session1","1","3556","1","NA","yes","1920","330","NA","NA","NA","NA","NA","NA","NA"
"0","0","4843","4843","#000000","no","xpyriment","legacy","legacy","0","f","filler","uniform","0","undefined","undefined","f","0","1","NA","0","1","0","1","1","0","NA","NA","0","0","0","0","1","0","1","0","NA","1","0","NA","0","1","0","0","2","0","0","1","0","1","0","1","0","1","0","NA","0","0","0","0","1","0","1","0","1","0","Tue Oct 25 08:47:45 2022","995","995","The main experiment item","yes","War der linke Fuß des Stürmers verletzt?","Der Stürmer, dessen rechter Fuß verletzt war, schoss den Ball mit dem linken Fuß und traf die linke obere Torecke.","opensesame_pandora_session1.osexp","/home/vlab/Desktop/Pandora_Session1","no","Times New Roman","no","45","no","#ffffff","no","yes","1020","yes","395","129","legacy","0","1","/home/vlab/Desktop/Pandora_Session1/logs/subject-59.csv","NA","xpyriment","filler_question","Lentiform Loewenfeld","3.3.12b1","War es der Pendler, der hetzte?","Der Radfahrer sah, wie der Pendler, der spät dran war, zur Bahn hetzte.","filler_question","0","j","NA","NA","NA","NA","NA","space","space","1","j","j","NA","4843","NA","NA","NA","NA","NA","2533727","20853","15510","4843","3556","NA","2","legacy","1","1024","2","48000","-16","experiment","59","odd","filler","NA","2589543","2608837","2575444","2589543","NA","NA","NA","1373","NA","2606094","2608339","NA","NA","2588543","NA","NA","NA","NA","NA","2608342","2574949","1381","2535116","2627464","2590583","2555970","2574945","2622621","2584980","NA","NA","2622621","2584980","2606094","NA","NA","NA","2608837","2590577","2575444","2622621","2584980","2627464","2588537","1373","pandora_session1","0","4843","1","filler","yes","1920","350","filler","filler","filler","filler","filler","filler","20"
"0","0","4843","4843","#000000","no","xpyriment","legacy","legacy","0","a","LoSyn/LoSem","uniform","0","undefined","undefined","NA","0","1","NA","1","1","1","1","1","1","NA","NA","0","0","0","1","1","1","1","1","NA","1","1","NA","1","1","0","0","3","0","0","1","1","1","1","1","1","1","0","NA","1","0","1","0","1","1","1","1","1","0","Tue Oct 25 08:47:45 2022","995","995","The main experiment item","yes","NA","Der Direktor sagte, dass der Junge, der an die ungerechte Klassenarbeit gedacht hatte, auffällig häufig nachfragte, um Unklarheiten zu klären.","opensesame_pandora_session1.osexp","/home/vlab/Desktop/Pandora_Session1","no","Times New Roman","no","45","no","#ffffff","no","yes","1020","no","395","59","legacy","1","1","/home/vlab/Desktop/Pandora_Session1/logs/subject-59.csv","3","xpyriment","NA","Lentiform Loewenfeld","3.3.12b1","War es der Pendler, der hetzte?","Der Radfahrer sah, wie der Pendler, der spät dran war, zur Bahn hetzte.","NA","0","j","NA","NA","NA","NA","NA","space","space","1","j","j","NA","4843","NA","NA","NA","NA","NA","2533727","20853","15510","4843","3556","NA","2","legacy","1","1024","2","48000","-16","experiment","59","odd","masc","2628469","2589543","2632152","2575444","2589543","2628469","NA","NA","1373","NA","2606094","2631638","NA","2627470","2588543","NA","NA","NA","NA","NA","2631657","2574949","1381","2535116","2647503","2590583","2555970","2574945","2622621","2584980","NA","NA","2622621","2584980","2606094","NA","NA","NA","2632152","2590577","2575444","2622621","2584980","2627464","2588537","1373","pandora_session1","0","4843","1","experimental","yes","1920","330","11","17","15","14","6","16","20"
"0","0","4843","4843","#000000","no","xpyriment","legacy","legacy","0","d","HiSyn/HiSem","uniform","0","undefined","undefined","NA","0","1","NA","2","1","2","1","1","2","NA","NA","0","0","0","2","1","2","1","2","NA","1","2","NA","2","1","0","0","4","0","0","1","2","1","2","1","2","1","0","NA","2","0","2","0","1","2","1","2","1","0","Tue Oct 25 08:47:45 2022","995","995","The main experiment item","yes","NA","Die Rentnerin glaubte, dass der Verkäufer, der erzählt hatte, dass der Hersteller kulant war, sicherlich gern half, wenn Probleme aufträten.","opensesame_pandora_session1.osexp","/home/vlab/Desktop/Pandora_Session1","no","Times New Roman","no","45","no","#ffffff","no","yes","1020","no","395","46","legacy","2","1","/home/vlab/Desktop/Pandora_Session1/logs/subject-59.csv","3","xpyriment","NA","Lentiform Loewenfeld","3.3.12b1","War es der Pendler, der hetzte?","Der Radfahrer sah, wie der Pendler, der spät dran war, zur Bahn hetzte.","NA","0","j","NA","NA","NA","NA","NA","space","space","1","j","j","NA","4843","NA","NA","NA","NA","NA","2533727","20853","15510","4843","3556","NA","2","legacy","1","1024","2","48000","-16","experiment","59","odd","masc","2647510","2589543","2651116","2575444","2589543","2647510","NA","NA","1373","NA","2606094","2650618","NA","2627470","2588543","NA","NA","NA","NA","NA","2650621","2574949","1381","2535116","2666645","2590583","2555970","2574945","2622621","2584980","NA","NA","2622621","2584980","2606094","NA","NA","NA","2651116","2590577","2575444","2622621","2584980","2627464","2588537","1373","pandora_session1","0","4843","1","experimental","yes","1920","390","12","18","16","15","6","17","20"
"0","0","4843","4843","#000000","no","xpyriment","legacy","legacy","0","c","HiSyn/LoSem","uniform","0","undefined","undefined","NA","0","1","NA","3","1","3","1","1","3","NA","NA","0","0","0","3","1","3","1","3","NA","1","3","NA","3","1","0","0","5","0","0","1","3","1","3","1","3","1","0","NA","3","0","3","0","1","3","1","3","1","0","Tue Oct 25 08:47:45 2022","995","995","The main experiment item","yes","NA","Der Investor befürchtete, dass der Eigentümer, der erzählt hatte, dass das Angebot gut war, einfach voreilig verkaufte, bevor Gewinne maximiert wurden.","opensesame_pandora_session1.osexp","/home/vlab/Desktop/Pandora_Session1","no","Times New Roman","no","45","no","#ffffff","no","yes","1020","no","395","53","legacy","3","1","/home/vlab/Desktop/Pandora_Session1/logs/subject-59.csv","3","xpyriment","NA","Lentiform Loewenfeld","3.3.12b1","War es der Pendler, der hetzte?","Der Radfahrer sah, wie der Pendler, der spät dran war, zur Bahn hetzte.","NA","0","j","NA","NA","NA","NA","NA","space","space","1","j","j","NA","4843","NA","NA","NA","NA","NA","2533727","20853","15510","4843","3556","NA","2","legacy","1","1024","2","48000","-16","experiment","59","odd","masc","2666653","2589543","2670365","2575444","2589543","2666653","NA","NA","1373","NA","2606094","2669866","NA","2627470","2588543","NA","NA","NA","NA","NA","2669869","2574949","1381","2535116","2686569","2590583","2555970","2574945","2622621","2584980","NA","NA","2622621","2584980","2606094","NA","NA","NA","2670365","2590577","2575444","2622621","2584980","2627464","2588537","1373","pandora_session1","0","4843","1","experimental","yes","1920","330","12","18","16","15","6","17","21"
"0","0","4843","4843","#000000","no","xpyriment","legacy","legacy","0","f","filler","uniform","0","undefined","undefined","NA","0","1","NA","4","1","4","1","1","4","NA","NA","0","0","0","4","1","4","1","4","NA","1","4","NA","4","1","0","0","6","0","0","1","4","1","4","1","4","1","0","NA","4","0","4","0","1","4","1","4","1","0","Tue Oct 25 08:47:45 2022","995","995","The main experiment item","yes","NA","Die gestresste Abiturientin, die die dringend empfohlene Literatur vollkommen ignoriert hatte, schummelte unauffällig, weil sie die Prüfung nicht wiederholen wollte.","opensesame_pandora_session1.osexp","/home/vlab/Desktop/Pandora_Session1","no","Times New Roman","no","45","no","#ffffff","no","yes","1020","no","395","138","legacy","4","1","/home/vlab/Desktop/Pandora_Session1/logs/subject-59.csv","NA","xpyriment","filler_question","Lentiform Loewenfeld","3.3.12b1","War es der Pendler, der hetzte?","Der Radfahrer sah, wie der Pendler, der spät dran war, zur Bahn hetzte.","filler_question","0","j","NA","NA","NA","NA","NA","space","space","1","j","j","NA","4843","NA","NA","NA","NA","NA","2533727","20853","15510","4843","3556","NA","2","legacy","1","1024","2","48000","-16","experiment","59","odd","filler","2686576","2589543","2690190","2575444","2589543","2686576","NA","NA","1373","NA","2606094","2689692","NA","2627470","2588543","NA","NA","NA","NA","NA","2689695","2574949","1381","2535116","2704990","2590583","2555970","2574945","2622621","2584980","NA","NA","2622621","2584980","2606094","NA","NA","NA","2690190","2590577","2575444","2622621","2584980","2627464","2588537","1373","pandora_session1","0","4843","1","filler","yes","1920","330","filler","filler","filler","filler","filler","filler","20"
"100","100","1469","1469","#000000","no","xpyriment","legacy","legacy","0","a","LoSyn/LoSem","uniform","1","undefined","undefined","j","1","1","NA","5","1","5","1","1","5","NA","NA","0","0","0","5","1","5","1","5","NA","1","5","NA","5","1","0","0","7","0","0","1","5","1","5","1","5","1","0","NA","5","0","5","0","1","5","1","5","1","0","Tue Oct 25 08:47:45 2022","995","995","The main experiment item","yes","War es der Wirt, der das bemerkte?","Der Wirt bemerkte, dass die Kellnerin, die über die schlechte Bezahlung geschimpft hatte, stets freundlich grüßte, wenn Gäste das Restaurant betraten.","opensesame_pandora_session1.osexp","/home/vlab/Desktop/Pandora_Session1","no","Times New Roman","no","45","no","#ffffff","no","yes","1020","yes","395","15","legacy","5","1","/home/vlab/Desktop/Pandora_Session1/logs/subject-59.csv","3","xpyriment","intro","Lentiform Loewenfeld","3.3.12b1","War es der Pendler, der hetzte?","Der Radfahrer sah, wie der Pendler, der spät dran war, zur Bahn hetzte.","intro_verb","0","j","NA","NA","NA","NA","NA","space","space","1","j","j","NA","1469","NA","NA","NA","NA","NA","2533727","20853","15510","1469","3556","NA","2","legacy","1","1024","2","48000","-16","experiment","59","odd","fem","2704999","2589543","2708714","2575444","2589543","2704999","NA","NA","1373","NA","2606094","2708214","NA","2627470","2588543","NA","NA","NA","NA","NA","2708219","2574949","1381","2535116","2726312","2590583","2555970","2574945","2724842","2584980","NA","NA","2724842","2584980","2606094","NA","NA","NA","2708714","2590577","2575444","2724842","2584980","2726312","2588537","1373","pandora_session1","1","1469","1","experimental","yes","1920","370","11","17","15","14","6","16","21"
"100","100","1469","1469","#000000","no","xpyriment","legacy","legacy","0","a","LoSyn/LoSem","uniform","1","undefined","undefined","NA","1","1","NA","6","1","6","1","1","6","NA","NA","0","0","0","6","1","6","1","6","NA","1","6","NA","6","1","0","0","8","0","0","1","6","1","6","1","6","1","0","NA","6","0","6","0","1","6","1","6","1","0","Tue Oct 25 08:47:45 2022","995","995","The main experiment item","yes","NA","Der Ingenieur erkannte, dass die Architektin, die von dem ausgefallenen Entwurf geschwärmt hatte, nicht sinnvoll kalkulierte, weil sie eigene Ziele verfolgte.","opensesame_pandora_session1.osexp","/home/vlab/Desktop/Pandora_Session1","no","Times New Roman","no","45","no","#ffffff","no","yes","1020","no","395","39","legacy","6","1","/home/vlab/Desktop/Pandora_Session1/logs/subject-59.csv","3","xpyriment","NA","Lentiform Loewenfeld","3.3.12b1","War es der Pendler, der hetzte?","Der Radfahrer sah, wie der Pendler, der spät dran war, zur Bahn hetzte.","NA","0","j","NA","NA","NA","NA","NA","space","space","1","j","j","NA","1469","NA","NA","NA","NA","NA","2533727","20853","15510","1469","3556","NA","2","legacy","1","1024","2","48000","-16","experiment","59","odd","fem","2727319","2589543","2731025","2575444","2589543","2727318","NA","NA","1373","NA","2606094","2730511","NA","2627470","2588543","2726319","NA","NA","NA","NA","2730530","2574949","1381","2535116","2747292","2590583","2555970","2574945","2724842","2584980","NA","NA","2724842","2584980","2606094","NA","NA","NA","2731025","2590577","2575444","2724842","2584980","2726312","2588537","1373","pandora_session1","1","1469","1","experimental","yes","1920","390","11","17","15","14","6","16","21"
"100","100","1469","1469","#000000","no","xpyriment","legacy","legacy","0","f","filler","uniform","1","undefined","undefined","NA","1","1","NA","7","1","7","1","1","7","NA","NA","0","0","0","7","1","7","1","7","NA","1","7","NA","7","1","0","0","9","0","0","1","7","1","7","1","7","1","0","NA","7","0","7","0","1","7","1","7","1","0","Tue Oct 25 08:47:45 2022","995","995","The main experiment item","yes","NA","Der Gaffer überschritt die Absperrung, um den Unfall, bei dem sich ein Transporter überschlagen hatte, besser sehen zu können.","opensesame_pandora_session1.osexp","/home/vlab/Desktop/Pandora_Session1","no","Times New Roman","no","45","no","#ffffff","no","yes","1020","no","395","155","legacy","7","1","/home/vlab/Desktop/Pandora_Session1/logs/subject-59.csv","NA","xpyriment","filler_question","Lentiform Loewenfeld","3.3.12b1","War es der Pendler, der hetzte?","Der Radfahrer sah, wie der Pendler, der spät dran war, zur Bahn hetzte.","filler_question","0","j","NA","NA","NA","NA","NA","space","space","1","j","j","NA","1469","NA","NA","NA","NA","NA","2533727","20853","15510","1469","3556","NA","2","legacy","1","1024","2","48000","-16","experiment","59","odd","filler","2747300","2589543","2750835","2575444","2589543","2747299","NA","NA","1373","NA","2606094","2750336","NA","2627470","2588543","2726319","NA","NA","NA","NA","2750340","2574949","1381","2535116","2764280","2590583","2555970","2574945","2724842","2584980","NA","NA","2724842","2584980","2606094","NA","NA","NA","2750835","2590577","2575444","2724842","2584980","2726312","2588537","1373","pandora_session1","1","1469","1","filler","yes","1920","330","filler","filler","filler","filler","filler","filler","19"
