"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","cond","cond_name","coordinates","correct","correct_instructions_p1","correct_instructions_p2","correct_response","correct_response_exp_1","correct_response_prac","correct_start_next_block","count_ITI_1","count_ITI_prac","count_RSVP_exp_1","count_RSVP_prac","count_break_1","count_experiment","count_experiment_end","count_experiment_loop_1","count_experiment_trial_1","count_feedback","count_feedback_prac","count_final_feedback","count_fixation_cross_exp_1","count_fixation_cross_prac","count_instructions_p1","count_instructions_p2","count_logger","count_practice_end","count_practice_loop","count_practice_trial","count_question_exp_1","count_question_prac","count_reset_feedback_exp_1","count_reset_feedback_prac","count_response_exp_1","count_response_prac","count_select","count_start_next_block","count_trigger_break_1","count_trigger_exp_end","count_trigger_fix_1","count_trigger_pracend","count_trigger_pracfix","count_trigger_question_1","count_trigger_question_prac","count_trigger_response_1","count_trigger_response_prac","count_triggers","datetime","delay_ITI_1","delay_ITI_prac","description","disable_garbage_collection","exp_question","exp_sentence","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","is_question","isi","item","keyboard_backend","live_row","live_row_practice_loop","logfile","lst","mouse_backend","np_in_question","opensesame_codename","opensesame_version","practice_question","practice_sentence","question_type","repeat_cycle","response","response_break_1","response_experiment_end","response_feedback","response_feedback_prac","response_final_feedback","response_instructions_p1","response_instructions_p2","response_practice_end","response_response_exp_1","response_response_prac","response_start_next_block","response_time","response_time_break_1","response_time_experiment_end","response_time_feedback","response_time_feedback_prac","response_time_final_feedback","response_time_instructions_p1","response_time_instructions_p2","response_time_practice_end","response_time_response_exp_1","response_time_response_prac","response_time_start_next_block","round_decimals","sampler_backend","session","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target_np_gender","time_ITI_1","time_ITI_prac","time_RSVP_exp_1","time_RSVP_prac","time_break_1","time_experiment","time_experiment_end","time_experiment_loop_1","time_experiment_trial_1","time_feedback","time_feedback_prac","time_final_feedback","time_fixation_cross_exp_1","time_fixation_cross_prac","time_instructions_p1","time_instructions_p2","time_logger","time_practice_end","time_practice_loop","time_practice_trial","time_question_exp_1","time_question_prac","time_reset_feedback_exp_1","time_reset_feedback_prac","time_response_exp_1","time_response_prac","time_select","time_start_next_block","time_trigger_break_1","time_trigger_exp_end","time_trigger_fix_1","time_trigger_pracend","time_trigger_pracfix","time_trigger_question_1","time_trigger_question_prac","time_trigger_response_1","time_trigger_response_prac","time_triggers","title","total_correct","total_response_time","total_responses","type","uniform_coordinates","width","word_dur","word_no_distractor","word_no_post","word_no_precrit","word_no_prepre","word_no_subject","word_no_verb","words_in_sentence"
"100","100","3853","3853","#000000","no","xpyriment","legacy","legacy","0","NA","NA","uniform","1","undefined","undefined","j","NA","1","NA","NA","0","NA","0","NA","0","0","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","NA","0","NA","0","NA","0","0","NA","NA","0","NA","0","0","NA","0","NA","0","0","Wed Jul 27 14:10:22 2022","NA","1000","The main experiment item","yes","NA","NA","opensesame_pandora_session1.osexp","/home/vlab/Desktop/Pandora_Session1","no","Times New Roman","no","45","no","#ffffff","no","yes","1020","yes","395","NA","legacy","0","0","/home/vlab/Desktop/Pandora_Session1/logs/subject-6.csv","NA","xpyriment","NA","Lentiform Loewenfeld","3.3.12b1","War es der Pendler, der hetzte?","Der Radfahrer sah, wie der Pendler, der spät dran war, zur Bahn hetzte.","NA","0","j","NA","NA","NA","NA","NA","space","space","NA","NA","j","NA","3853","NA","NA","NA","NA","NA","490271","30698","NA","NA","3853","NA","2","legacy","NA","1024","2","48000","-16","experiment","6","even","NA","NA","NA","NA","524064","NA","1260","NA","NA","NA","NA","NA","NA","NA","523569","1267","491554","537452","NA","522252","523565","NA","533598","NA","NA","NA","533599","NA","NA","NA","NA","NA","NA","524064","NA","533599","NA","537452","1260","pandora_session1","1","3853","1","NA","yes","1920","330","NA","NA","NA","NA","NA","NA","NA"
"50","50","3900","3900","#000000","no","xpyriment","legacy","legacy","0","NA","NA","uniform","0","undefined","undefined","f","NA","0","NA","NA","1","NA","1","NA","0","0","0","NA","NA","NA","NA","NA","1","0","0","1","0","0","1","NA","1","NA","1","NA","1","0","NA","NA","0","NA","1","1","NA","1","NA","1","0","Wed Jul 27 14:10:22 2022","NA","1000","The main experiment item","yes","NA","NA","opensesame_pandora_session1.osexp","/home/vlab/Desktop/Pandora_Session1","no","Times New Roman","no","45","no","#ffffff","no","yes","1020","yes","395","NA","legacy","1","1","/home/vlab/Desktop/Pandora_Session1/logs/subject-6.csv","NA","xpyriment","NA","Lentiform Loewenfeld","3.3.12b1","War es das Kind, das ein Buch las?","Das Kind mit der blauen Hose spielte im Sandkasten und die Mutter las ein Buch.","NA","0","j","NA","NA","NA","NA","NA","space","space","NA","NA","j","NA","3947","NA","NA","NA","NA","NA","490271","30698","NA","NA","3947","NA","2","legacy","NA","1024","2","48000","-16","experiment","6","even","NA","NA","537466","NA","540468","NA","1260","NA","NA","NA","NA","NA","NA","NA","539973","1267","491554","554836","NA","522252","539969","NA","550889","NA","NA","NA","550889","NA","NA","NA","NA","NA","538466","540468","NA","550889","NA","554836","1260","pandora_session1","1","7800","2","NA","yes","1920","290","NA","NA","NA","NA","NA","NA","NA"
"undefined","undefined","undefined","undefined","#000000","no","xpyriment","legacy","legacy","0","f","filler","uniform","undefined","undefined","undefined","NA","NA","0","NA","0","1","0","1","NA","0","0","0","0","NA","0","NA","0","1","0","0","2","0","0","1","0","1","0","1","0","1","0","NA","0","0","0","1","1","0","1","0","1","0","Wed Jul 27 14:10:22 2022","1000","1000","The main experiment item","yes","NA","Sie fand, dass der neue Professor, der sich während der Vorlesung erneut peinlich versprochen hatte, eigentlich einen Rhetorikkurs besuchen müsste.","opensesame_pandora_session1.osexp","/home/vlab/Desktop/Pandora_Session1","no","Times New Roman","no","45","no","#ffffff","no","yes","1020","no","395","146","legacy","0","1","/home/vlab/Desktop/Pandora_Session1/logs/subject-6.csv","NA","xpyriment","filler_question","Lentiform Loewenfeld","3.3.12b1","War es das Kind, das ein Buch las?","Das Kind mit der blauen Hose spielte im Sandkasten und die Mutter las ein Buch.","filler_question","0","space","NA","NA","NA","space","NA","space","space","space","NA","j","NA","6909","NA","NA","NA","72848","NA","490271","30698","6909","NA","3947","NA","2","legacy","1","1024","2","48000","-16","experiment","6","even","filler","NA","554839","638301","540468","NA","1260","NA","635804","637794","NA","556003","NA","637806","539973","1267","491554","652740","628894","522252","539969","NA","550889","NA","NA","NA","550889","635804","NA","NA","NA","638301","628852","540468","NA","550889","NA","554836","1260","pandora_session1","0","0","0","filler","yes","1920","330","filler","filler","filler","filler","filler","filler","20"
"undefined","undefined","undefined","undefined","#000000","no","xpyriment","legacy","legacy","0","a","LoSyn/LoSem","uniform","undefined","undefined","undefined","NA","NA","0","NA","1","1","1","1","NA","0","0","0","1","NA","0","NA","1","1","0","0","3","0","0","1","1","1","1","1","1","1","0","NA","1","0","1","1","1","1","1","1","1","0","Wed Jul 27 14:10:22 2022","1000","1000","The main experiment item","yes","NA","Der Regisseur erkannte, dass die Schauspielerin, die über das schlechte Licht geschimpft hatte, immer ehrgeizig probte, um ihre Darbietung zu verbessern.","opensesame_pandora_session1.osexp","/home/vlab/Desktop/Pandora_Session1","no","Times New Roman","no","45","no","#ffffff","no","yes","1020","no","395","36","legacy","1","1","/home/vlab/Desktop/Pandora_Session1/logs/subject-6.csv","2","xpyriment","NA","Lentiform Loewenfeld","3.3.12b1","War es das Kind, das ein Buch las?","Das Kind mit der blauen Hose spielte im Sandkasten und die Mutter las ein Buch.","NA","0","space","NA","NA","NA","space","NA","space","space","space","NA","j","NA","6909","NA","NA","NA","72848","NA","490271","30698","6909","NA","3947","NA","2","legacy","1","1024","2","48000","-16","experiment","6","even","fem","652744","554839","656165","540468","NA","1260","NA","635804","655664","NA","556003","NA","655669","539973","1267","491554","672427","628894","522252","539969","NA","550889","NA","NA","NA","550889","635804","NA","NA","NA","656165","628852","540468","NA","550889","NA","554836","1260","pandora_session1","0","0","0","experimental","yes","1920","410","11","17","15","14","6","16","21"
"undefined","undefined","undefined","undefined","#000000","no","xpyriment","legacy","legacy","0","d","HiSyn/HiSem","uniform","undefined","undefined","undefined","NA","NA","0","NA","2","1","2","1","NA","0","0","0","2","NA","0","NA","2","1","0","0","4","0","0","1","2","1","2","1","2","1","0","NA","2","0","2","1","1","2","1","2","1","0","Wed Jul 27 14:10:22 2022","1000","1000","The main experiment item","yes","NA","Der Schneider erzählte, dass der Designer, der verlangt hatte, dass das Model exklusiv war, oftmals gedankenlos einkaufte, ohne Preise zu beachten.","opensesame_pandora_session1.osexp","/home/vlab/Desktop/Pandora_Session1","no","Times New Roman","no","45","no","#ffffff","no","yes","1020","no","395","55","legacy","2","1","/home/vlab/Desktop/Pandora_Session1/logs/subject-6.csv","2","xpyriment","NA","Lentiform Loewenfeld","3.3.12b1","War es das Kind, das ein Buch las?","Das Kind mit der blauen Hose spielte im Sandkasten und die Mutter las ein Buch.","NA","0","space","NA","NA","NA","space","NA","space","space","space","NA","j","NA","6909","NA","NA","NA","72848","NA","490271","30698","6909","NA","3947","NA","2","legacy","1","1024","2","48000","-16","experiment","6","even","masc","672431","554839","675828","540468","NA","1260","NA","635804","675328","NA","556003","NA","675333","539973","1267","491554","691829","628894","522252","539969","NA","550889","NA","NA","NA","550889","635804","NA","NA","NA","675828","628852","540468","NA","550889","NA","554836","1260","pandora_session1","0","0","0","experimental","yes","1920","370","12","18","16","15","6","17","21"
"undefined","undefined","undefined","undefined","#000000","no","xpyriment","legacy","legacy","0","f","filler","uniform","undefined","undefined","undefined","NA","NA","0","NA","3","1","3","1","NA","0","0","0","3","NA","0","NA","3","1","0","0","5","0","0","1","3","1","3","1","3","1","0","NA","3","0","3","1","1","3","1","3","1","0","Wed Jul 27 14:10:22 2022","1000","1000","The main experiment item","yes","NA","Sie vermutete, dass die eingeschnappte Taxifahrerin, die sich gegenüber dem Kunden unhöflich benommen hatte, auch das Taxameter manipulieren würde.","opensesame_pandora_session1.osexp","/home/vlab/Desktop/Pandora_Session1","no","Times New Roman","no","45","no","#ffffff","no","yes","1020","no","395","160","legacy","3","1","/home/vlab/Desktop/Pandora_Session1/logs/subject-6.csv","NA","xpyriment","filler_question","Lentiform Loewenfeld","3.3.12b1","War es das Kind, das ein Buch las?","Das Kind mit der blauen Hose spielte im Sandkasten und die Mutter las ein Buch.","filler_question","0","space","NA","NA","NA","space","NA","space","space","space","NA","j","NA","6909","NA","NA","NA","72848","NA","490271","30698","6909","NA","3947","NA","2","legacy","1","1024","2","48000","-16","experiment","6","even","filler","691832","554839","695064","540468","NA","1260","NA","635804","694564","NA","556003","NA","694569","539973","1267","491554","708932","628894","522252","539969","NA","550889","NA","NA","NA","550889","635804","NA","NA","NA","695064","628852","540468","NA","550889","NA","554836","1260","pandora_session1","0","0","0","filler","yes","1920","310","filler","filler","filler","filler","filler","filler","19"
"0","0","4869","4869","#000000","no","xpyriment","legacy","legacy","0","f","filler","uniform","0","undefined","undefined","j","0","0","NA","4","1","4","1","NA","0","0","0","4","NA","0","NA","4","1","0","0","6","0","0","1","4","1","4","1","4","1","0","NA","4","0","4","1","1","4","1","4","1","0","Wed Jul 27 14:10:22 2022","1000","1000","The main experiment item","yes","Hatte der Partner den abscheulichen Täter erkannt?","Der Polizist fand heraus, dass sein Partner, der den abscheulichen Täter erkannt hatte, erneut ermittelte, weil es noch Unklarheiten gab.","opensesame_pandora_session1.osexp","/home/vlab/Desktop/Pandora_Session1","no","Times New Roman","no","45","no","#ffffff","no","yes","1020","yes","395","122","legacy","4","1","/home/vlab/Desktop/Pandora_Session1/logs/subject-6.csv","NA","xpyriment","filler_question","Lentiform Loewenfeld","3.3.12b1","War es das Kind, das ein Buch las?","Das Kind mit der blauen Hose spielte im Sandkasten und die Mutter las ein Buch.","filler_question","0","f","NA","NA","NA","space","NA","space","space","space","f","j","NA","4869","NA","NA","NA","72848","NA","490271","30698","6909","4869","3947","NA","2","legacy","1","1024","2","48000","-16","experiment","6","even","filler","708936","554839","712260","540468","NA","1260","NA","635804","711762","NA","556003","NA","711765","539973","1267","491554","731371","628894","522252","539969","726502","550889","NA","NA","726502","550889","635804","NA","NA","NA","712260","628852","540468","726502","550889","731371","554836","1260","pandora_session1","0","4869","1","filler","yes","1920","270","filler","filler","filler","filler","filler","filler","20"
"0","0","4869","4869","#000000","no","xpyriment","legacy","legacy","0","a","LoSyn/LoSem","uniform","0","undefined","undefined","NA","0","0","NA","5","1","5","1","NA","0","0","0","5","NA","0","NA","5","1","0","0","7","0","0","1","5","1","5","1","5","1","0","NA","5","0","5","1","1","5","1","5","1","0","Wed Jul 27 14:10:22 2022","1000","1000","The main experiment item","yes","NA","Der Bruder berichtete, dass der Kranke, der von dem alternativen Medikament gehört hatte, zusätzlich regelmäßig meditierte, um die Schmerzen zu lindern.","opensesame_pandora_session1.osexp","/home/vlab/Desktop/Pandora_Session1","no","Times New Roman","no","45","no","#ffffff","no","yes","1020","no","395","52","legacy","5","1","/home/vlab/Desktop/Pandora_Session1/logs/subject-6.csv","2","xpyriment","NA","Lentiform Loewenfeld","3.3.12b1","War es das Kind, das ein Buch las?","Das Kind mit der blauen Hose spielte im Sandkasten und die Mutter las ein Buch.","NA","0","f","NA","NA","NA","space","NA","space","space","space","f","j","NA","4869","NA","NA","NA","72848","NA","490271","30698","6909","4869","3947","NA","2","legacy","1","1024","2","48000","-16","experiment","6","even","masc","731374","554839","734774","540468","NA","1260","NA","635804","734268","NA","556003","NA","734279","539973","1267","491554","751015","628894","522252","539969","726502","550889","NA","NA","726502","550889","635804","NA","NA","NA","734774","628852","540468","726502","550889","731371","554836","1260","pandora_session1","0","4869","1","experimental","yes","1920","350","11","17","15","14","6","16","21"
"50","50","4132.5","4132.5","#000000","no","xpyriment","legacy","legacy","0","f","filler","uniform","1","undefined","undefined","j","1","0","NA","6","1","6","1","NA","0","0","0","6","NA","0","NA","6","1","0","0","8","0","0","1","6","1","6","1","6","1","0","NA","6","0","6","1","1","6","1","6","1","0","Wed Jul 27 14:10:22 2022","1000","1000","The main experiment item","yes","Hoffte der Mann, dass die Architektin zusagte?","Der Mann hoffte, dass die junge Architektin, die der Nachbar empfohlen hatte, endlich zusagte, damit er sein Traumhaus bauen konnte.","opensesame_pandora_session1.osexp","/home/vlab/Desktop/Pandora_Session1","no","Times New Roman","no","45","no","#ffffff","no","yes","1020","yes","395","126","legacy","6","1","/home/vlab/Desktop/Pandora_Session1/logs/subject-6.csv","NA","xpyriment","filler_question","Lentiform Loewenfeld","3.3.12b1","War es das Kind, das ein Buch las?","Das Kind mit der blauen Hose spielte im Sandkasten und die Mutter las ein Buch.","filler_question","0","j","NA","NA","NA","space","NA","space","space","space","j","j","NA","3396","NA","NA","NA","72848","NA","490271","30698","6909","3396","3947","NA","2","legacy","1","1024","2","48000","-16","experiment","6","even","filler","751019","554839","754326","540468","NA","1260","NA","635804","753827","NA","556003","NA","753831","539973","1267","491554","771867","628894","522252","539969","768470","550889","NA","NA","768470","550889","635804","NA","NA","NA","754326","628852","540468","768470","550889","771867","554836","1260","pandora_session1","1","8265","2","filler","yes","1920","330","filler","filler","filler","filler","filler","filler","20"
"33.333333333333336","33.333333333333336","4421.666666666667","4421.666666666667","#000000","no","xpyriment","legacy","legacy","0","a","LoSyn/LoSem","uniform","0","undefined","undefined","f","0","0","NA","7","1","7","1","NA","0","0","0","7","NA","0","NA","7","1","0","0","9","0","0","1","7","1","7","1","7","1","0","NA","7","0","7","1","1","7","1","7","1","0","Wed Jul 27 14:10:22 2022","1000","1000","The main experiment item","yes","War es die Ladeninhaberin, die geschwärmt hatte?","Die Ladeninhaberin vermutete, dass der Friseur, der von der tollen Schere geschwärmt hatte, immer unentwegt plauderte, um das Klischee zu erfüllen.","opensesame_pandora_session1.osexp","/home/vlab/Desktop/Pandora_Session1","no","Times New Roman","no","45","no","#ffffff","no","yes","1020","yes","395","16","legacy","7","1","/home/vlab/Desktop/Pandora_Session1/logs/subject-6.csv","2","xpyriment","intro","Lentiform Loewenfeld","3.3.12b1","War es das Kind, das ein Buch las?","Das Kind mit der blauen Hose spielte im Sandkasten und die Mutter las ein Buch.","relcl_verb","0","None","NA","NA","NA","space","NA","space","space","space","None","j","NA","5000","NA","NA","NA","72848","NA","490271","30698","6909","5000","3947","NA","2","legacy","1","1024","2","48000","-16","experiment","6","even","masc","771869","554839","775259","540468","NA","1260","NA","635804","774760","NA","556003","NA","774764","539973","1267","491554","796386","628894","522252","539969","791386","550889","NA","NA","791386","550889","635804","NA","NA","NA","775259","628852","540468","791386","550889","796386","554836","1260","pandora_session1","1","13265","3","experimental","yes","1920","370","11","17","15","14","6","16","21"
