"","prior","MargLik","Model","BF"
"1","normal(0.01,0.01)",1.46212220086082,"Two cues model",1
"2","normal(0.01,0.01)",0.482395328831702,"Three cues model",3.03096260156972
"3","normal(0.01,0.01)",0.000126563973612844,"Single cue model",11552.435966758
"4","normal(0.01,0.02)",1.11617125255795,"Two cues model",1
"5","normal(0.01,0.02)",0.337445602343918,"Three cues model",3.30770721208087
"6","normal(0.01,0.02)",0.00493043964596885,"Single cue model",226.383716809217
"7","normal(0.01,0.005)",1.17403233026093,"Two cues model",1
"8","normal(0.01,0.005)",0.543598141548363,"Three cues model",2.1597430905795
"9","normal(0.01,0.005)",6.29855829524963e-09,"Single cue model",186396993.601915
"10","normal(0.02,0.01)",0.374841952921906,"Two cues model",1
"11","normal(0.02,0.01)",0.148275800116616,"Three cues model",2.52800492478948
"12","normal(0.02,0.01)",0.0015517379597341,"Single cue model",241.562662413786
"13","normal(0.02,0.02)",0.710999928595054,"Two cues model",1
"14","normal(0.02,0.02)",0.225106254603795,"Three cues model",3.15850810030343
"15","normal(0.02,0.02)",0.00904930178629811,"Single cue model",78.5695897192429
"16","normal(0.02,0.005)",0.00943979527613159,"Two cues model",1
"17","normal(0.02,0.005)",0.00863848042294202,"Three cues model",1.09276108921442
"18","normal(0.02,0.005)",1.80171241049913e-05,"Single cue model",523.934631360866
