results_reception_time,md5_hash_participant_IP,controller_name,order_of_items,inner_element_num,label,v7,penn_element_type,penn_element_name,parameter,value,event_time,Prolific_ID_url,latin_square_list,item,condition,sentence,comments,TMD5hash,subject,Age,Sex
1717878146,4242d2e0a6fa7ccbf8e630717827fab0,PennController,48,0,experiment-critical,NULL,Scale,judge,Choice,6,1717876205670,65afb8aaf6e92db567f07068,0,44,d,Der Klinikleiter befürwortete%2C dass die Urologin%2C die beklagt hatte%2C dass der Pfleger stümperhaft war%2C auch weiterhin praktizierte%2C weil sie recht hatte.,NULL,1717878146-4242d2e0a6fa7ccbf8e630717827fab0,plausib_anim2,35,Male
1717878146,4242d2e0a6fa7ccbf8e630717827fab0,PennController,82,0,experiment-critical,NULL,Scale,judge,Choice,7,1717876218518,65afb8aaf6e92db567f07068,0,78,d,Der Jugendliche sah%2C dass der Kumpel%2C der geprahlt hatte%2C dass der Rapper krass war%2C heimlich abends ausging%2C obwohl er Hausarrest hatte.,NULL,1717878146-4242d2e0a6fa7ccbf8e630717827fab0,plausib_anim2,35,Male
1717878146,4242d2e0a6fa7ccbf8e630717827fab0,PennController,160,0,experiment-filler,NULL,Scale,judge,Choice,2,1717876250388,65afb8aaf6e92db567f07068,0,156,f,Die Frau hatte gewusst%2C dass der Banker%2C der den Politiker erhalten hatte%2C häufig kurzfristig verreiste%2C um der Stadt zu entfliehen.,NULL,1717878146-4242d2e0a6fa7ccbf8e630717827fab0,plausib_anim2,35,Male
1717878146,4242d2e0a6fa7ccbf8e630717827fab0,PennController,22,0,experiment-critical,NULL,Scale,judge,Choice,7,1717876265869,65afb8aaf6e92db567f07068,0,18,d,Der Reporter hörte%2C dass der Boxer%2C der gemeckert hatte%2C dass der Ringrichter unfair war%2C angeblich häufig schummelte%2C um den Sieg zu holen.,NULL,1717878146-4242d2e0a6fa7ccbf8e630717827fab0,plausib_anim2,35,Male
1717878146,4242d2e0a6fa7ccbf8e630717827fab0,PennController,108,0,experiment-critical,NULL,Scale,judge,Choice,7,1717876277462,65afb8aaf6e92db567f07068,0,104,d,Der Fan kritisierte%2C dass der Fußballer%2C der spekuliert hatte%2C dass der Gegner schwach war%2C bewusst langsam lief%2C um Kräfte zu sparen.,NULL,1717878146-4242d2e0a6fa7ccbf8e630717827fab0,plausib_anim2,35,Male
1717878146,4242d2e0a6fa7ccbf8e630717827fab0,PennController,42,0,experiment-critical,NULL,Scale,judge,Choice,5,1717876300851,65afb8aaf6e92db567f07068,0,38,d,Der Referent lobte%2C dass der Menschenrechtler%2C der berichtet hatte%2C dass der Anwalt erfolgreich war%2C weiterhin aufopferungsvoll kämpfte%2C um das Leid zu mindern.,NULL,1717878146-4242d2e0a6fa7ccbf8e630717827fab0,plausib_anim2,35,Male
1717878146,4242d2e0a6fa7ccbf8e630717827fab0,PennController,65,0,experiment-critical,NULL,Scale,judge,Choice,7,1717876321775,65afb8aaf6e92db567f07068,0,61,c,Der Staatsanwalt hörte%2C dass der Schmuggler%2C der ausgesagt hatte%2C dass das Verbrechen grausam war%2C einfach heimlich abtauchte%2C um der Bestrafung zu entgehen.,NULL,1717878146-4242d2e0a6fa7ccbf8e630717827fab0,plausib_anim2,35,Male
1717878146,4242d2e0a6fa7ccbf8e630717827fab0,PennController,144,0,experiment-filler,NULL,Scale,judge,Choice,3,1717876346275,65afb8aaf6e92db567f07068,0,140,f,Die Polizistin vergab das Knöllchen mit größter Genugtuung%2C weil sie der Fahrer%2C der kurz ein Finale abgeholt hatte%2C angeschrien hatte.,NULL,1717878146-4242d2e0a6fa7ccbf8e630717827fab0,plausib_anim2,35,Male
1717878146,4242d2e0a6fa7ccbf8e630717827fab0,PennController,88,0,experiment-critical,NULL,Scale,judge,Choice,7,1717876358670,65afb8aaf6e92db567f07068,0,84,d,Der Tontechniker sah%2C dass der Schlagzeuger%2C der gelästert hatte%2C dass der Gitarrist schwach war%2C gelegentlich abends kiffte%2C um zu entspannen.,NULL,1717878146-4242d2e0a6fa7ccbf8e630717827fab0,plausib_anim2,35,Male
1717878146,4242d2e0a6fa7ccbf8e630717827fab0,PennController,50,0,experiment-critical,NULL,Scale,judge,Choice,7,1717876374342,65afb8aaf6e92db567f07068,0,46,d,Die Rentnerin glaubte%2C dass der Verkäufer%2C der erzählt hatte%2C dass der Hersteller kulant war%2C sicherlich gern half%2C wenn Probleme aufträten.,NULL,1717878146-4242d2e0a6fa7ccbf8e630717827fab0,plausib_anim2,35,Male
1717878146,4242d2e0a6fa7ccbf8e630717827fab0,PennController,150,0,experiment-filler,NULL,Scale,judge,Choice,4,1717876391178,65afb8aaf6e92db567f07068,0,146,f,Die Hirtin rief den Präsidenten%2C der wieder mal abgelenkt war%2C mit der schrillen Trillerpfeife%2C als er dem Reh nachjagen wollte.,NULL,1717878146-4242d2e0a6fa7ccbf8e630717827fab0,plausib_anim2,35,Male
1717878146,4242d2e0a6fa7ccbf8e630717827fab0,PennController,58,0,experiment-critical,NULL,Scale,judge,Choice,6,1717876409647,65afb8aaf6e92db567f07068,0,54,d,Der Auszubildende bemerkte%2C dass der Schreiner%2C der erwartet hatte%2C dass der Spediteur pünktlich war%2C laut ungehalten schimpfte%2C als der Termin verstrich.,NULL,1717878146-4242d2e0a6fa7ccbf8e630717827fab0,plausib_anim2,35,Male
1717878146,4242d2e0a6fa7ccbf8e630717827fab0,PennController,16,0,experiment-critical,NULL,Scale,judge,Choice,6,1717876425250,65afb8aaf6e92db567f07068,0,12,d,Der Vormund ahnte%2C dass der Ersttäter%2C der gedacht hatte%2C dass der Bewährungshelfer überflüssig war%2C ganz bewusst provozierte%2C um ihn zu ärgern.,NULL,1717878146-4242d2e0a6fa7ccbf8e630717827fab0,plausib_anim2,35,Male
