subject,item,cond,sentence,rating,age,sex,L1,bilingual,impairment,education
plausibility_1,11,distr_inan,Die Geschichte schwindelte.,2,27,weiblich,deutsch,nein,nein,master
plausibility_1,11,distr_anim,Der Erpresser schwindelte.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,11,intro,Der Chefredakteur schwindelte.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,11,subject,Der Mitarbeiter schwindelte.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,43,intro,Der Onkel tanzte.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,43,subject,Die Nichte tanzte.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,43,distr_inan,Die Feier tanzte.,2,27,weiblich,deutsch,nein,nein,master
plausibility_1,43,distr_anim,Das Geburtstagskind tanzte.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,28,distr_inan,Der Abschluss trat zurück.,2,27,weiblich,deutsch,nein,nein,master
plausibility_1,28,distr_anim,Der Mediator trat zurück.,5,27,weiblich,deutsch,nein,nein,master
plausibility_1,28,intro,Der Nachfolger trat zurück.,5,27,weiblich,deutsch,nein,nein,master
plausibility_1,28,subject,Der Geschäftsführer trat zurück.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,2,intro,Der Professor argumentierte.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,2,distr_inan,Das Experiment argumentierte.,1,27,weiblich,deutsch,nein,nein,master
plausibility_1,2,distr_anim,Der Gastredner argumentierte.,5,27,weiblich,deutsch,nein,nein,master
plausibility_1,2,subject,Die Studentin argumentierte.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,88,intro,Der Busfahrer beschleunigte.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,88,distr_inan,Das Ersatzteil beschleunigte.,2,27,weiblich,deutsch,nein,nein,master
plausibility_1,88,distr_anim,Der Mechaniker beschleunigte.,5,27,weiblich,deutsch,nein,nein,master
plausibility_1,88,subject,Der Kollege beschleunigte.,4,27,weiblich,deutsch,nein,nein,master
plausibility_1,31,subject,Die Frau kam wieder.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,31,intro,Die Verkäuferin kam wieder.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,31,distr_anim,Der Schuster kam wieder.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,31,distr_inan,Die Reparatur kam wieder.,3,27,weiblich,deutsch,nein,nein,master
plausibility_1,100,intro,Die Hebamme traf ein.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,100,distr_inan,Die Geburt traf ein.,3,27,weiblich,deutsch,nein,nein,master
plausibility_1,100,subject,Der Lebensgefährte traf ein.,6,27,weiblich,deutsch,nein,nein,master
