session;group;item_no;type;condition;cond_name;sentence;is_question;question_type;np_in_question;question;corr_answ;target_np_gender;words_in_sentence;word_no_subject;word_no_distractor;word_no_critical
1;1;1;experimental;a;LoSyn/LoSem;Der Journalist entdeckte, dass die Kollegin, die von dem grauenhaften Skandal berichtet hatte, gelegentlich schamlos log, um Informationen zu erhalten.;yes;main_verb;target;War es die Kollegin, die schamlos log?;j;fem;20;6;11;16
1;1;2;experimental;b;LoSyn/HiSem;Der Professor bemerkte, dass die Studentin, die gegen den umstrittenen Gastredner argumentiert hatte, sehr sorgfältig argumentierte, um das Gremium zu überzeugen.;yes;main_verb;distractor;War es der Gastredner, der sehr sorgfältig argumentierte?;f;fem;21;6;11;16
1;1;3;experimental;c;HiSyn/LoSem;Der Passagier ahnte, dass die Flugbegleiterin, die geschimpft hatte, dass das Handgepäck lästig war, dennoch freundlich lächelte, weil es von ihr erwartet wurde.;yes;main_verb;target;War es die Flugbegleiterin, die dennoch lächelte?;j;fem;23;6;12;17
1;1;4;experimental;d;HiSyn/HiSem;Der Lehrer vermutete, dass der Schüler, der berichtet hatte, dass der Busfahrer unangenehm war, mehrfach aggressiv brüllte, um einen Streit zu provozieren.;yes;main_verb;distractor;War es der Busfahrer, der aggressiv brüllte?;f;masc;22;6;12;17
1;1;5;experimental;a;LoSyn/LoSem;Der Architekt erzählte, dass der Maurer, der über das schlechte Fundament genörgelt hatte, immer besonders aufpasste, um Fehler zu vermeiden.;yes;main_verb;target;War es der Maurer, der besonders aufpasste?;j;masc;20;6;11;16
1;1;6;experimental;b;LoSyn/HiSem;Der Trauzeuge sah, dass der Bräutigam, der mit der glamourösen Braut geprahlt hatte, leider ungünstig stolperte, wodurch er sich den Knöchel verstauchte.;yes;adj;target;War der Bräutigam glamourös?;f;masc;22;6;11;16
1;1;7;experimental;c;HiSyn/LoSem;Der Laborleiter wusste, dass der Wissenschaftler, der gejammert hatte, dass die Messung unzuverlässig war, alles gewissenhaft dokumentierte, um den Überblick zu behalten.;yes;adj;distractor;War die Messung unzuverlässig?;j;masc;22;6;12;17
1;1;8;experimental;d;HiSyn/HiSem;Die Aushilfe sagte, dass der Bäcker, der gemeckert hatte, dass der Kunde dreist war, morgens immer hetzte, um alles fertig zu kriegen.;yes;adj;target;War der Bäcker dreist?;f;masc;22;6;12;17
1;1;9;experimental;a;LoSyn/LoSem;Der Naturschützer bewunderte, dass die Aktivistin, die vor der gefährlichen Situation gewarnt hatte, weiterhin friedlich demonstrierte, um eine Veränderung zu bewirken.;yes;adj;distractor;War die Situation gefährlich?;j;fem;21;6;11;16
1;1;10;experimental;b;LoSyn/HiSem;Die Sekretärin erklärte, dass die Steuerberaterin, die vor der unzuverlässigen Klientin gewarnt hatte, immer noch telefonierte, um eine Fristverlängerung zu erwirken.;yes;adj;target;War die Steuerberaterin unzuverlässig?;f;fem;21;6;11;16
